Image,Detected Object(s),Generated_Image_Path
11449.jpeg,"['torch', 'candle, taper, wax light', 'sandbar, sand bar', 'seashore, coast, seacoast, sea-coast']",images\11449.jpeg
11451.jpeg,"['mountain bike, all-terrain bike, off-roader', 'bicycle-built-for-two, tandem bicycle, tandem', 'viaduct', 'unicycle, monocycle']",images\11451.jpeg
11453.jpeg,['fountain'],images\11453.jpeg
1148.jpeg,"['ski', 'gibbon, Hylobates lar', 'maze, labyrinth', 'seashore, coast, seacoast, sea-coast', 'gorilla, Gorilla gorilla']",images\1148.jpeg
11487.jpeg,"['spotlight, spot', 'jeep, landrover', 'minivan', 'car wheel', 'baboon']",images\11487.jpeg
1149.jpeg,"['cab, hack, taxi, taxicab', 'limousine, limo', 'Irish setter, red setter', 'minivan', 'alp']",images\1149.jpeg
11493.jpeg,"['lakeside, lakeshore', 'valley, vale', 'dam, dike, dyke', 'sandbar, sand bar', 'boathouse']",images\11493.jpeg
11496.jpeg,"['baboon', 'briard', 'Bouvier des Flandres, Bouviers des Flandres', 'beach wagon, station wagon, wagon, estate car, beach waggon, station waggon, waggon', 'minivan']",images\11496.jpeg
115.jpeg,"['orangutan, orang, orangutang, Pongo pygmaeus', 'gorilla, Gorilla gorilla', 'gibbon, Hylobates lar']",images\115.jpeg
1150.jpeg,"['orangutan, orang, orangutang, Pongo pygmaeus', 'chimpanzee, chimp, Pan troglodytes', 'gorilla, Gorilla gorilla', 'siamang, Hylobates syndactylus, Symphalangus syndactylus']",images\1150.jpeg
11506.jpeg,"['chimpanzee, chimp, Pan troglodytes', 'siamang, Hylobates syndactylus, Symphalangus syndactylus', 'gorilla, Gorilla gorilla', 'gibbon, Hylobates lar']",images\11506.jpeg
11514.jpeg,"['gorilla, Gorilla gorilla', 'orangutan, orang, orangutang, Pongo pygmaeus', 'chimpanzee, chimp, Pan troglodytes']",images\11514.jpeg
11519.jpeg,"['valley, vale', 'alp']",images\11519.jpeg
1152.jpeg,"['book jacket, dust cover, dust jacket, dust wrapper', 'comic book', 'web site, website, internet site, site']",images\1152.jpeg
11526.jpeg,"['trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi']",images\11526.jpeg
11543.jpeg,"['lakeside, lakeshore', 'seashore, coast, seacoast, sea-coast', 'canoe', 'sandbar, sand bar']",images\11543.jpeg
11549.jpeg,"['passenger car, coach, carriage', 'recreational vehicle, RV, R.V.', 'stretcher', 'sliding door', 'desktop computer']",images\11549.jpeg
1155.jpeg,"['chimpanzee, chimp, Pan troglodytes', 'gorilla, Gorilla gorilla', 'go-kart', 'siamang, Hylobates syndactylus, Symphalangus syndactylus', 'tricycle, trike, velocipede']",images\1155.jpeg
11554.jpeg,"['book jacket, dust cover, dust jacket, dust wrapper', 'web site, website, internet site, site', 'comic book', 'church, church building', 'alp']",images\11554.jpeg
11576.jpeg,"['web site, website, internet site, site', 'menu', 'envelope', 'crossword puzzle, crossword']",images\11576.jpeg
1158.jpeg,"['barn', 'boathouse']",images\1158.jpeg
11589.jpeg,"['jeep, landrover', 'baboon', 'pickup, pickup truck', 'geyser', 'minivan']",images\11589.jpeg
11592.jpeg,"['pier', 'baboon', 'langur', 'macaque', 'spider monkey, Ateles geoffroyi']",images\11592.jpeg
116.jpeg,"['beach wagon, station wagon, wagon, estate car, beach waggon, station waggon, waggon', 'baboon', 'chimpanzee, chimp, Pan troglodytes', 'macaque', 'fountain']",images\116.jpeg
1160.jpeg,"['worm fence, snake fence, snake-rail fence, Virginia fence', 'park bench', 'water snake', 'lakeside, lakeshore', 'valley, vale']",images\1160.jpeg
11616.jpeg,"['lakeside, lakeshore', 'boathouse', 'valley, vale']",images\11616.jpeg
1163.jpeg,"['recreational vehicle, RV, R.V.']",images\1163.jpeg
11630.jpeg,"['valley, vale', 'Newfoundland, Newfoundland dog', 'unicycle, monocycle', 'giant schnauzer', 'Labrador retriever']",images\11630.jpeg
11632.jpeg,"['chimpanzee, chimp, Pan troglodytes', 'gorilla, Gorilla gorilla', 'baboon', 'macaque', 'spider monkey, Ateles geoffroyi']",images\11632.jpeg
11635.jpeg,"['garbage truck, dustcart', 'snowplow, snowplough']",images\11635.jpeg
1164.jpeg,"['gorilla, Gorilla gorilla', 'orangutan, orang, orangutang, Pongo pygmaeus']",images\1164.jpeg
11656.jpeg,"['geyser', 'canoe', 'lakeside, lakeshore', 'valley, vale', 'fountain']",images\11656.jpeg
1166.jpeg,"['recreational vehicle, RV, R.V.', 'minibus', 'police van, police wagon, paddy wagon, patrol wagon, wagon, black Maria', 'minivan', 'bathing cap, swimming cap']",images\1166.jpeg
1167.jpeg,"['unicycle, monocycle']",images\1167.jpeg
1168.jpeg,"['ashcan, trash can, garbage can, wastebin, ash bin, ash-bin, ashbin, dustbin, trash barrel, trash bin', 'shovel', 'doormat, welcome mat', 'chimpanzee, chimp, Pan troglodytes', 'lumbermill, sawmill']",images\1168.jpeg
11682.jpeg,"['monitor', 'book jacket, dust cover, dust jacket, dust wrapper', 'television, television system', 'hand-held computer, hand-held microcomputer', 'web site, website, internet site, site']",images\11682.jpeg
11687.jpeg,"['gorilla, Gorilla gorilla', 'chimpanzee, chimp, Pan troglodytes', 'siamang, Hylobates syndactylus, Symphalangus syndactylus', 'baboon', 'American black bear, black bear, Ursus americanus, Euarctos americanus']",images\11687.jpeg
11688.jpeg,"['web site, website, internet site, site', 'jeep, landrover', 'geyser', 'patas, hussar monkey, Erythrocebus patas', 'book jacket, dust cover, dust jacket, dust wrapper']",images\11688.jpeg
1169.jpeg,"['maze, labyrinth']",images\1169.jpeg
1170.jpeg,"['orangutan, orang, orangutang, Pongo pygmaeus', 'gibbon, Hylobates lar', 'baboon', 'howler monkey, howler', 'spider monkey, Ateles geoffroyi']",images\1170.jpeg
11702.jpeg,"['measuring cup', 'Petri dish']",images\11702.jpeg
11726.jpeg,"['valley, vale', 'fountain', 'backpack, back pack, knapsack, packsack, rucksack, haversack', 'geyser', 'alp']",images\11726.jpeg
11762.jpeg,"['convertible', 'giant schnauzer', 'standard poodle']",images\11762.jpeg
11765.jpeg,"['spotlight, spot', 'bannister, banister, balustrade, balusters, handrail', 'fountain', 'pier', 'lakeside, lakeshore']",images\11765.jpeg
11771.jpeg,"['jeep, landrover']",images\11771.jpeg
1178.jpeg,"['jeep, landrover', 'geyser', 'snowplow, snowplough', 'alp', 'snowmobile']",images\1178.jpeg
11786.jpeg,"['reel', 'lakeside, lakeshore', 'tripod', 'valley, vale', 'tile roof']",images\11786.jpeg
1179.jpeg,"['boathouse', 'lumbermill, sawmill', 'barn', 'alp', 'worm fence, snake fence, snake-rail fence, Virginia fence']",images\1179.jpeg
1180.jpeg,"['howler monkey, howler', 'gibbon, Hylobates lar', 'spider monkey, Ateles geoffroyi', 'langur', 'siamang, Hylobates syndactylus, Symphalangus syndactylus']",images\1180.jpeg
11807.jpeg,"['comic book', 'web site, website, internet site, site', 'book jacket, dust cover, dust jacket, dust wrapper']",images\11807.jpeg
11812.jpeg,"['web site, website, internet site, site', 'speedboat', 'seashore, coast, seacoast, sea-coast', 'lakeside, lakeshore', 'book jacket, dust cover, dust jacket, dust wrapper']",images\11812.jpeg
11818.jpeg,"['valley, vale', 'lakeside, lakeshore', 'canoe', 'paddle, boat paddle']",images\11818.jpeg
11823.jpeg,"['lawn mower, mower', 'snowplow, snowplough', 'tractor', 'plow, plough', 'horse cart, horse-cart']",images\11823.jpeg
11828.jpeg,"['maze, labyrinth', 'park bench', 'worm fence, snake fence, snake-rail fence, Virginia fence']",images\11828.jpeg
11831.jpeg,"['gorilla, Gorilla gorilla', 'chimpanzee, chimp, Pan troglodytes']",images\11831.jpeg
11837.jpeg,"['sandbar, sand bar', 'seashore, coast, seacoast, sea-coast', 'breakwater, groin, groyne, mole, bulwark, seawall, jetty', 'lakeside, lakeshore']",images\11837.jpeg
11841.jpeg,"['jeep, landrover', 'alp', 'valley, vale', 'television, television system']",images\11841.jpeg
11858.jpeg,"['platypus, duckbill, duckbilled platypus, duck-billed platypus, Ornithorhynchus anatinus', 'orangutan, orang, orangutang, Pongo pygmaeus', 'baboon', 'television, television system', 'minivan']",images\11858.jpeg
1186.jpeg,"['spider monkey, Ateles geoffroyi', 'tricycle, trike, velocipede', 'mountain bike, all-terrain bike, off-roader', 'bicycle-built-for-two, tandem bicycle, tandem', 'unicycle, monocycle']",images\1186.jpeg
1188.jpeg,"['jeep, landrover', 'beach wagon, station wagon, wagon, estate car, beach waggon, station waggon, waggon', 'ski mask', 'minivan', 'abaya']",images\1188.jpeg
11886.jpeg,"['brown bear, bruin, Ursus arctos', 'comic book']",images\11886.jpeg
1189.jpeg,"['gorilla, Gorilla gorilla', 'chimpanzee, chimp, Pan troglodytes', 'siamang, Hylobates syndactylus, Symphalangus syndactylus']",images\1189.jpeg
11897.jpeg,"['fountain', 'lakeside, lakeshore', 'seashore, coast, seacoast, sea-coast', 'geyser', 'valley, vale']",images\11897.jpeg
1190.jpeg,"['web site, website, internet site, site', 'book jacket, dust cover, dust jacket, dust wrapper', 'comic book']",images\1190.jpeg
11911.jpeg,['vulture'],images\11911.jpeg
11918.jpeg,"['web site, website, internet site, site']",images\11918.jpeg
1192.jpeg,"['book jacket, dust cover, dust jacket, dust wrapper', 'hair spray', 'brass, memorial tablet, plaque', 'lotion', 'perfume, essence']",images\1192.jpeg
11927.jpeg,"['jeep, landrover', 'half track', 'tank, army tank, armored combat vehicle, armoured combat vehicle', 'amphibian, amphibious vehicle', 'web site, website, internet site, site']",images\11927.jpeg
11930.jpeg,"['book jacket, dust cover, dust jacket, dust wrapper', 'web site, website, internet site, site', 'comic book']",images\11930.jpeg
11946.jpeg,"['snowmobile', 'lakeside, lakeshore', 'dogsled, dog sled, dog sleigh', 'maze, labyrinth', 'ski']",images\11946.jpeg
11948.jpeg,"['tractor', 'comic book', 'plow, plough']",images\11948.jpeg
11956.jpeg,['mountain tent'],images\11956.jpeg
11966.jpeg,"['wreck', 'thatch, thatched roof', 'valley, vale', 'suspension bridge', 'dam, dike, dyke']",images\11966.jpeg
1197.jpeg,"['lakeside, lakeshore', 'book jacket, dust cover, dust jacket, dust wrapper', 'colobus, colobus monkey', 'scuba diver', 'baboon']",images\1197.jpeg
11976.jpeg,"['macaque', 'chimpanzee, chimp, Pan troglodytes', 'baboon', 'patas, hussar monkey, Erythrocebus patas', 'siamang, Hylobates syndactylus, Symphalangus syndactylus']",images\11976.jpeg
1198.jpeg,"['schipperke', 'groenendael']",images\1198.jpeg
11986.jpeg,"['book jacket, dust cover, dust jacket, dust wrapper', 'envelope', 'menu', 'comic book']",images\11986.jpeg
11987.jpeg,"['chimpanzee, chimp, Pan troglodytes', 'scuba diver', 'gorilla, Gorilla gorilla']",images\11987.jpeg
1199.jpeg,"['lakeside, lakeshore', 'valley, vale', 'mountain bike, all-terrain bike, off-roader', 'crane', 'bighorn, bighorn sheep, cimarron, Rocky Mountain bighorn, Rocky Mountain sheep, Ovis canadensis']",images\1199.jpeg
11998.jpeg,"['dam, dike, dyke']",images\11998.jpeg
1200.jpeg,"['geyser', 'bubble', 'obelisk', 'airship, dirigible']",images\1200.jpeg
1201.jpeg,"['abaya', 'trombone', 'barrow, garden cart, lawn cart, wheelbarrow', 'sax, saxophone', 'prison, prison house']",images\1201.jpeg
12019.jpeg,"['boathouse', 'lakeside, lakeshore', 'park bench', 'patio, terrace']",images\12019.jpeg
1202.jpeg,"['bison', 'hay', 'barn', 'worm fence, snake fence, snake-rail fence, Virginia fence', 'tractor']",images\1202.jpeg
12021.jpeg,"['gibbon, Hylobates lar', 'orangutan, orang, orangutang, Pongo pygmaeus', 'baboon', 'langur', 'capuchin, ringtail, Cebus capucinus']",images\12021.jpeg
1203.jpeg,"['barrow, garden cart, lawn cart, wheelbarrow', 'hay', 'umbrella', 'park bench', 'plow, plough']",images\1203.jpeg
12034.jpeg,"['tow truck, tow car, wrecker', 'trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi', 'crane', 'snowplow, snowplough', 'Chesapeake Bay retriever']",images\12034.jpeg
1204.jpeg,"['Old English sheepdog, bobtail', 'toy poodle', 'Maltese dog, Maltese terrier, Maltese', 'Lhasa, Lhasa apso', 'Bedlington terrier']",images\1204.jpeg
1205.jpeg,"['grey fox, gray fox, Urocyon cinereoargenteus', 'weasel', 'badger', 'Arctic fox, white fox, Alopex lagopus', 'mongoose']",images\1205.jpeg
12054.jpeg,"['plow, plough', 'hay', 'harvester, reaper', 'maze, labyrinth', 'rapeseed']",images\12054.jpeg
1206.jpeg,"['slug', 'nail', 'soccer ball', 'Band Aid', 'tennis ball']",images\1206.jpeg
12065.jpeg,"['marimba, xylophone']",images\12065.jpeg
12067.jpeg,"['comic book', 'web site, website, internet site, site', 'book jacket, dust cover, dust jacket, dust wrapper']",images\12067.jpeg
12068.jpeg,['comic book'],images\12068.jpeg
1207.jpeg,"['alp', 'lakeside, lakeshore', 'snowmobile', 'valley, vale', 'ski']",images\1207.jpeg
1208.jpeg,"['web site, website, internet site, site', 'cellular telephone, cellular phone, cellphone, cell, mobile phone', 'remote control, remote']",images\1208.jpeg
12087.jpeg,"['spotlight, spot', ""spider web, spider's web"", 'comic book', 'macaque', 'chimpanzee, chimp, Pan troglodytes']",images\12087.jpeg
12098.jpeg,"['running shoe', 'bighorn, bighorn sheep, cimarron, Rocky Mountain bighorn, Rocky Mountain sheep, Ovis canadensis', 'shoe shop, shoe-shop, shoe store', 'ibex, Capra ibex']",images\12098.jpeg
1211.jpeg,"['gorilla, Gorilla gorilla', 'chimpanzee, chimp, Pan troglodytes', 'siamang, Hylobates syndactylus, Symphalangus syndactylus']",images\1211.jpeg
12122.jpeg,"['gorilla, Gorilla gorilla', 'chimpanzee, chimp, Pan troglodytes']",images\12122.jpeg
1213.jpeg,"['comic book', 'chimpanzee, chimp, Pan troglodytes', 'shower curtain', 'book jacket, dust cover, dust jacket, dust wrapper', 'gorilla, Gorilla gorilla']",images\1213.jpeg
12138.jpeg,"['suspension bridge', 'maypole', 'pole', 'valley, vale', 'lakeside, lakeshore']",images\12138.jpeg
1214.jpeg,"['gorilla, Gorilla gorilla', 'chimpanzee, chimp, Pan troglodytes', 'binoculars, field glasses, opera glasses', 'standard poodle', 'gasmask, respirator, gas helmet']",images\1214.jpeg
12140.jpeg,"['jeep, landrover', 'ballplayer, baseball player', 'football helmet', 'mountain bike, all-terrain bike, off-roader', 'beach wagon, station wagon, wagon, estate car, beach waggon, station waggon, waggon']",images\12140.jpeg
12156.jpeg,"['web site, website, internet site, site']",images\12156.jpeg
12157.jpeg,"['suit, suit of clothes', 'Loafer', 'pedestal, plinth, footstall', 'bow tie, bow-tie, bowtie', 'lakeside, lakeshore']",images\12157.jpeg
12158.jpeg,"['television, television system', 'entertainment center']",images\12158.jpeg
12165.jpeg,['mountain tent'],images\12165.jpeg
1219.jpeg,"['lumbermill, sawmill', 'boathouse', 'harvester, reaper', 'jeep, landrover', 'beach wagon, station wagon, wagon, estate car, beach waggon, station waggon, waggon']",images\1219.jpeg
12204.jpeg,"['giant schnauzer', 'orangutan, orang, orangutang, Pongo pygmaeus', 'Gordon setter', 'Afghan hound, Afghan', 'brown bear, bruin, Ursus arctos']",images\12204.jpeg
12205.jpeg,"['jeep, landrover', 'web site, website, internet site, site', 'racer, race car, racing car', 'book jacket, dust cover, dust jacket, dust wrapper', 'pickup, pickup truck']",images\12205.jpeg
12214.jpeg,"['water buffalo, water ox, Asiatic buffalo, Bubalus bubalis']",images\12214.jpeg
12216.jpeg,"['Rottweiler', 'muzzle']",images\12216.jpeg
12220.jpeg,"['Doberman, Doberman pinscher', 'miniature pinscher']",images\12220.jpeg
1224.jpeg,"['Irish water spaniel', 'television, television system', 'tray', 'orangutan, orang, orangutang, Pongo pygmaeus', 'baboon']",images\1224.jpeg
12247.jpeg,"['cliff, drop, drop-off', 'promontory, headland, head, foreland', 'seashore, coast, seacoast, sea-coast', 'valley, vale', 'alp']",images\12247.jpeg
1225.jpeg,"['Afghan hound, Afghan', 'briard', 'fur coat', 'breastplate, aegis, egis']",images\1225.jpeg
1226.jpeg,"['comic book', 'book jacket, dust cover, dust jacket, dust wrapper']",images\1226.jpeg
12266.jpeg,"['mountain tent', 'book jacket, dust cover, dust jacket, dust wrapper']",images\12266.jpeg
1227.jpeg,"['tank, army tank, armored combat vehicle, armoured combat vehicle', 'sundial', 'manhole cover']",images\1227.jpeg
12271.jpeg,"['alp', 'baboon', 'book jacket, dust cover, dust jacket, dust wrapper', 'comic book', 'web site, website, internet site, site']",images\12271.jpeg
1228.jpeg,"['web site, website, internet site, site', 'book jacket, dust cover, dust jacket, dust wrapper', 'boathouse', 'comic book', 'barn']",images\1228.jpeg
12289.jpeg,"['mountain tent', 'lakeside, lakeshore']",images\12289.jpeg
1229.jpeg,"['fur coat', 'cloak', 'sleeping bag', 'Afghan hound, Afghan']",images\1229.jpeg
12290.jpeg,"['jeep, landrover']",images\12290.jpeg
12292.jpeg,['comic book'],images\12292.jpeg
12294.jpeg,"['cliff, drop, drop-off', 'theater curtain, theatre curtain', 'valley, vale', 'giant schnauzer', 'vault']",images\12294.jpeg
12302.jpeg,"['web site, website, internet site, site', 'mousetrap', 'menu']",images\12302.jpeg
12314.jpeg,"['brass, memorial tablet, plaque', 'web site, website, internet site, site']",images\12314.jpeg
1232.jpeg,"['alp', 'ski', 'church, church building']",images\1232.jpeg
12328.jpeg,"['web site, website, internet site, site', 'jeep, landrover', 'book jacket, dust cover, dust jacket, dust wrapper', 'timber wolf, grey wolf, gray wolf, Canis lupus', 'comic book']",images\12328.jpeg
12333.jpeg,['mountain tent'],images\12333.jpeg
1234.jpeg,"['macaque', 'patas, hussar monkey, Erythrocebus patas', 'proboscis monkey, Nasalis larvatus', 'chimpanzee, chimp, Pan troglodytes', 'gibbon, Hylobates lar']",images\1234.jpeg
12351.jpeg,"['langur', 'spider monkey, Ateles geoffroyi', 'window screen', 'window shade', 'siamang, Hylobates syndactylus, Symphalangus syndactylus']",images\12351.jpeg
1237.jpeg,"['boathouse', 'lakeside, lakeshore', 'patio, terrace']",images\1237.jpeg
12383.jpeg,"['web site, website, internet site, site', 'comic book', 'book jacket, dust cover, dust jacket, dust wrapper', 'envelope']",images\12383.jpeg
12388.jpeg,"['wardrobe, closet, press', 'four-poster', 'sliding door', 'file, file cabinet, filing cabinet', 'shoji']",images\12388.jpeg
12396.jpeg,"['lakeside, lakeshore', 'dam, dike, dyke', 'valley, vale', 'alp', 'lawn mower, mower']",images\12396.jpeg
1240.jpeg,"['skunk, polecat, wood pussy', 'badger']",images\1240.jpeg
